run,run_label,split,fold,metric,n_rows,n_valid_pairs,n_valid_dates,mean_ic,median_ic,min_ic,max_ic
jo.base,base,train,21,h9,91202,90086,1453,0.342139247876,0.367983682103,-0.191256830601,0.745662410919
jo.base,base,train,22,blend,92673,91539,1453,0.0371768963097,0.0305081491874,-0.354464715988,0.479435450859
jo.base,base,train,22,h6,92673,91917,1459,0.247460344659,0.261232718894,-0.368951612903,0.756000384025
jo.base,base,train,22,h9,92673,91539,1453,-0.262229319497,-0.284322196621,-0.731374807988,0.330117127496
jo.base,base,train,23,blend,83601,82467,1309,0.310434009232,0.333689406031,-0.208703375018,0.658593377976
jo.base,base,train,23,h6,83601,82845,1315,0.269784274559,0.287298387097,-0.231758832565,0.643337173579
jo.base,base,train,23,h9,83601,82467,1309,0.300556002582,0.326516897081,-0.304339477727,0.690524193548
jo.base,base,train,24,blend,83601,82467,1309,0.314542466347,0.352586732513,-0.239681226569,0.685326104939
jo.base,base,train,24,h6,83601,82845,1315,0.206131287732,0.216424448274,-0.242703533026,0.603110599078
jo.base,base,train,24,h9,83601,82467,1309,0.322736242591,0.361607142857,-0.385944700461,0.674731182796
jo.base,base,train,25,blend,82274,81158,1309,0.222212597047,0.236205204311,-0.356275814455,0.600025185348
jo.base,base,train,25,h6,82274,81530,1315,0.223234498096,0.239794505328,-0.3382193717,0.664291022131
jo.base,base,train,25,h9,82274,81158,1309,0.178612227743,0.185678129736,-0.370152111462,0.59249279239
jo.base,base,train,26,blend,82274,81158,1309,0.274228002459,0.296349466097,-0.215780593937,0.64762036704
jo.base,base,train,26,h6,82274,81530,1315,0.230213475163,0.244129091233,-0.309137381825,0.635297969101
jo.base,base,train,26,h9,82274,81158,1309,0.253991579892,0.271839037043,-0.288714571736,0.652547814861
jo.base,base,oos,0,blend,49837,48739,799,0.0672881681941,0.0731288020066,-0.403808768419,0.43422897024
jo.base,base,oos,0,h6,49837,49105,805,0.0632664698096,0.0708619777895,-0.386197778953,0.44352194606
jo.base,base,oos,0,h9,49837,48739,799,0.0559966219011,0.0586991010048,-0.35452141724,0.409465891063
jo.base,base,oos,1,blend,46909,45811,751,0.0384380995045,0.0384030472596,-0.424072903822,0.399069104474
jo.base,base,oos,1,h6,46909,46177,757,0.0295257536049,0.0360660505855,-0.455103120042,0.385848009424
